id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31232113,"Habitación doble en el centro, ¡Con balcón propio!",233627049,Altea,Ciutat Vella,el Raval,41.37629,2.17024,Private room,53,1,2,2019-01-25,0.29,2,8
31233963,Habitación doble privada,9048801,Iris,Eixample,l'Antiga Esquerra de l'Eixample,41.3912,2.1583,Private room,27,32,0,,,2,1
31248449,Nice studio in born the best area in the City,170513081,Georgina,Ciutat Vella,el Barri Gòtic,41.38435,2.17267,Entire home/apt,277,1,29,2019-07-29,4.33,29,260
31249193,"Charming apartment in the nice El Clot, long stays",233797637,Mar,Sant Martí,el Camp de l'Arpa del Clot,41.40897,2.18493,Entire home/apt,33,45,1,2019-07-20,1,1,31
31250744,Suite Casa Park Guell,62950020,Lucie,Gràcia,el Coll,41.41845,2.15042,Private room,48,2,17,2019-08-01,2.98,1,181
31252070,"Newly refurbished: Close to center, close to beach",4700510,Robert,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38839,2.17747,Entire home/apt,75,30,1,2019-02-28,0.18,1,365
31252203,Vistas panorámicas de Barcelona desde las terrazas,231059453,Rosa,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40851,2.14561,Private room,60,2,0,,,3,178
31257170,Superbe grande chambre dans centre moderne 1 pers.,8454365,Maxim,Eixample,l'Antiga Esquerra de l'Eixample,41.38818,2.15241,Private room,40,3,1,2019-05-07,0.31,2,293
31257984,"Modern, bright and spacious apartment in Gràcia",3065224,Laia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40964,2.1603,Entire home/apt,55,2,15,2019-08-05,5.23,1,94
31258281,"Private studio: heart of old town, trendy area",233878916,Marcus,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38237,2.18184,Private room,110,3,31,2019-07-27,4.49,2,320
